job_card_no,warning_type,detail,created_at
2024/7/R/458,NONSTANDARD_SITE,ja-ela bridge,2026-07-12 10:48:40
2024/7/R/458-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/462,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/463,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/466,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/467,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/468,EQUIPMENT_ASSET,heat burner,2026-07-12 10:48:40
2024/7/R/468-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/471,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/7/R/471-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/472,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/473,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/474,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/474-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/475,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/476,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/7/R/480,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/481,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/494,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/497-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/498,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/498-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/499,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/500,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/501,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/502,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/504-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/507,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/511,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/7/R/512,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/523,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/528,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/528,ODOMETER_EXTRACTED,3871 Hrs,2026-07-12 10:48:40
2024/8/R/529,NONSTANDARD_SITE,h/o,2026-07-12 10:48:40
2024/8/R/532,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/539,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/540,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2024/8/R/541,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/544,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/545,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/546,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/551,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/552,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/559,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/8/R/562,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/563,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/564,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/569,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/573,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/578,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/580,EQUIPMENT_ASSET,E55W,2026-07-12 10:48:40
