mrnNum,itemName,vehicleMachinery,reqQty,recQty,hasUnpriced,importStatus,errorMessage
167081,Air Filter (PA-1027),LK-5041,1,0,0,imported,
165464,Bolt,48-4849,8,8,1,imported,
165464,York,48-4849,1,1,1,imported,
165464,Universal Joint,48-4849,1,1,1,imported,
167370,Injector Service,DAH-2229,4,4,1,imported,
167370,tank pump,DAH-2229,1,0,0,imported,
167370,Fuel filter,DAH-2229,1,0,0,imported,
167370,Fuel feed pump,DAH-2229,1,0,0,imported,
167370,EV relay,DAH-2229,1,0,0,imported,
167370,Fuel sys repair,DAH-2229,1,0,0,imported,
165465,Gear Cable,LD-05,2,1,1,imported,
165463,Radiator Repair,ZB-1979,1,0,0,imported,
165462,Door Lock,"LO-8349, LO-8350",4,4,1,imported,
165462,Winder Handle,LO-8350,1,1,1,imported,
165461,Boot Clip,49-5294,4,4,1,imported,
165461,Low Gear Assy,49-5294,1,1,1,imported,
165461,Low Gear Plate,49-5294,1,1,1,imported,
165461,Clutch Racer,49-5294,1,1,1,imported,
165461,Flat Spring Washer,49-5294,8,8,1,imported,
165461,"1/4 * 1"" Bolt",49-5294,8,8,1,imported,
165461,Top Shaft Seal,49-5294,1,1,1,imported,
165460,Bonet Buffer,49-5294,1,1,1,imported,
165460,Steering Cap,49-5294,1,1,1,imported,
165460,Gear Boot,49-5294,2,2,1,imported,
165460,L/Gear Box P/set,49-5294,1,1,1,imported,
165460,L/Gear Washer,49-5294,2,2,1,imported,
165460,Rivers Shaft,49-5294,1,1,1,imported,
165460,Rivers Needle,49-5294,1,1,1,imported,
165460,228 Needle,49-5294,1,1,1,imported,
165460,6010 NSK Bearing,49-5294,2,2,1,imported,
165460,6208 NSK Bearing,49-5294,2,2,1,imported,
165460,6210 NSK Bearing,49-5294,2,2,1,imported,
165460,6211 NSK Bearing,49-5294,1,1,1,imported,
165459,Brake Liner Set (Rear Side),LO-7183,2,2,1,imported,
165459,Brake Liner Set (Front Side),LO-7183,2,2,1,imported,
165458,Overoll Kit (XL),New Machanic (Kanishka),1,0,0,imported,
165458,Safety Shoes (42),New Machanic (Kanishka),1,0,0,imported,
167437,Diesel,LK-5047,10,0,0,imported,
165428,Valve Oil Seal,41-1130,1,1,1,imported,
165428,15mm Clip,41-1130,2,2,1,imported,
165428,15mm End Cap,41-1130,2,2,1,imported,
165428,Temperature Plug,41-1130,1,1,1,imported,
165428,Radiator Cap,41-1130,1,1,1,imported,
165428,Thermo Stud Cover (Presure Valve),41-1130,1,1,1,imported,
165428,Head Gasket,41-1130,1,1,1,imported,
166920,Laser Toner Cartridge (83X1CRG-337),Work Shop Stores,1,1,1,imported,
166919,Thinner,Work Shop Stores,10,9,1,imported,
166919,Insulating Tape,Work Shop Stores,12,0,0,imported,
166919,Costic Soda,Work Shop Stores,5,0,0,imported,
166919,Cotton Waste,Work Shop Stores,10,6,1,imported,
166919,Karosine Oil,Work Shop Stores,15,0,0,imported,
166919,Petrol,Work Shop Stores,4,4.1,1,imported,
165456,Wire Huness (complete),48-8072,1,0,0,imported,
165456,Air Meter Flexible Hose,48-8072,2,2,1,imported,
165456,Hose,48-8072,3,3,1,imported,
165456,Brake Oil Tank,48-8072,1,1,1,imported,
165456,Reserve Pump Washer,48-8072,1,1,1,imported,
165456,Clutch Pressure Pump,48-8072,1,1,1,imported,
165455,Belt (7333266),SL-15,1,1,1,imported,
165455,Power Steering Pump Repair,DAH-2230,1,1,1,imported,
165454,Wire Socket Female,LY-4524,1,0,0,imported,
165454,Wire Socket Male,LY-4524,1,0,0,imported,
165454,Fog Light,LY-4524,4,0,0,imported,
165454,Mid Axel Repair,LY-4524,1,0,0,imported,
165453,"1""*1"" Box Bar",Container Box Roofing (Work Shop),3.5,0,0,imported,
165452,Starter Motor Solonoide,RC-9894,1,1,1,imported,
165452,Brush Holder With Brush,RC-9894,1,1,1,imported,
165451,Fog Light,LX-1679,2,0,0,imported,
165451,Chassy Light,LX-1679,14,7,1,imported,
165450,24V Main Relay,HEX-17,1,1,1,imported,
165450,24V MAin Switch,HEX-17,1,0,0,imported,
165450,24V/80A 5pin Relay,HEX-17,10,10,1,imported,
167080,Water Separator (SFF-5486),HEX-42,1,0,0,imported,
167080,Fuel Filter (2992662),HEX-42,1,0,0,imported,
167080,Oil Filter (2992242),HEX-42,1,0,0,imported,
167079,Oil Filter (254718130106),PV-6889,1,0,0,imported,
165449,Magnatic Socket,Container Box Roofing (Work Shop),1,1,1,imported,
165449,Amano Screw Nails,Container Box Roofing (Work Shop),75,75,1,imported,
165448,Universal Joint Cross,PA-6399,2,2,1,imported,
165448,Clutch Release Bearing,PA-6399,1,1,1,imported,
165448,Pilot Bearing (Bush),PA-6399,1,1,1,imported,
165447,Top Shaft Bearing,PA-6399,1,1,1,imported,
165447,Top Shaft,PA-6399,1,1,1,imported,
165447,Oil Seal S/L,PA-6399,2,2,1,imported,
165447,"3rd,4th Hub Lock Clip",PA-6399,1,0,0,imported,
165447,"3rd, 4th Hub Complete",PA-6399,1,1,1,imported,
165447,Log Sring Rings,PA-6399,4,4,1,imported,
165447,Dog Log,PA-6399,6,6,1,imported,
165447,Shyconicing Cone,PA-6399,2,2,1,imported,
165447,Counter Shaft Bearing,PA-6399,2,2,1,imported,
165447,Counter Shaft,PA-6399,1,0,0,imported,
167078,Fuel Filter With Filter Head (32/925994),LB-21 / ZB-1980,1,1,1,imported,
166915,Masking Tape,Work Shop Stores,3,3,1,imported,
166915,Radiator Fan Hub Bearing,Work Shop Stores,1,1,1,imported,
166915,Cup Brush,Work Shop Stores,6,6,1,imported,
166915,1K Lacker,Work Shop Stores,4,4,1,imported,
166915,Paint White,Work Shop Stores,6,6,1,imported,
166915,Filler,Work Shop Stores,4,4,1,imported,
166915,Primer,Work Shop Stores,4,4,1,imported,
166915,Cutting Wheel 4 1/2,Work Shop Stores,10,0,0,imported,
166915,Thinner,Work Shop Stores,20,16,1,imported,
140448,12V  100Ah New Battery,ZB-1047,1,0,0,imported,
140447,12V  95Ah New Battery,LK-5047,2,0,0,imported,
165446,Brake Master Pump,PH-3945,1,1,1,imported,
167436,Diesel,LK-5586,10,0,0,imported,
140616,Hand Gloves,Work Shop Stores,10,6,1,imported,
167077,Air Filter,LK-5047,1,0,0,imported,
167076,Air Filter (6666333),SL-09,1,1,1,imported,
167076,Oil Filter (C 206L),SL-09,1,1,1,imported,
167075,Oil Filter (C-1121),PA-6399,1,1,1,imported,
165445,Spark Plug BM6A,TR-146,1,1,1,imported,
165445,Air Filter (130mm*122mm*20mm ),TM-146 Tamping Rammer,1,1,1,imported,
165445,Spark Plug (P-RZ9H )-16mm Key Size,TR-146  Tamping Rammer,1,1,1,imported,
16445,Spark Plug (BM6A )-19mm Key Size,TR-146 Tamping Rammer,1,0,0,imported,
165444,PTO Switch,LP-1579 TATA 1618,1,1,1,imported,
165444,PTO Switch -New,LP-1710 TATA 1618,1,1,1,imported,
167435,Car Wash,Work Shop Stores,10,10,1,imported,
167074,Fuel Filter (FC-1503),PH-6742,1,1,1,imported,
167074,PH-6742,Oil Filter (C-502),1,1,1,imported,
167074,Fuel Filter (FC-1104),325-3448,1,1,1,imported,
167074,Oil Filter (C-1121),325-3448,1,1,1,imported,
167074,Fuel Filter (FHJ00700/800),43-1191,1,1,1,imported,
167074,Oil Filter (OH-0108),43-1191,1,1,1,imported,
167074,Air Filter (32-915801),ZA-7034,1,1,1,imported,
140615,"Motor Grader Cutting Blade (6"")",MG-10,2,2,1,imported,
165442,01st/02nth Sliding Sleeve With Reverse Gear,40-8060 Nissan Atlas Crew Cab,1,0,0,imported,
165442,05th Neele Bearing InnerWith Coller Sleeve,40-8060 Nissan Atlas Crew Cab,1,0,0,imported,
165442,Clutch Release Bearing,40-8060 Nissan Atlas Crew Cab,1,0,0,imported,
165442,Cluth Plate,40-8060 Nissan Atlas Crew Cab,1,0,0,imported,
165442,Bearing Guide P[late,40/8060 Nissan Atlas Crew Cab,1,0,0,imported,
165442,Oil Seal,40-8060 Nissan ATlas Crew Cab,2,0,0,imported,
165441,Lock Ring,40-8060 Nissan Atlas Crew Cab,6,0,0,imported,
165441,Sliding Sleeve Lock,40-8060 Nissan Atlas Crew Cab,9,0,0,imported,
165441,Needle Bearing,40-8060 Nissan Atlas Crew Cab,4,0,0,imported,
165441,Piolot Bearing,40-8060 Nissan Atlas Crew Cab,1,0,0,imported,
165441,Synchoronice Cone,40-8060 Nissan Atlas Crew Cab,1,0,0,imported,
165441,05th Gear Wheel,40-8060 Nissan Atlas Crew Cab,1,0,0,imported,
165441,Counter Shaft Bearing,40-8060 Nissan Atlas Crew Cab,2,0,0,imported,
165441,Top Shaft Bearing,40-8060 Nissan Atlas Crew Cab,1,0,0,imported,
165441,Main Shaft Bearing,40-8060 Nissan Atlas Crew Cab,2,0,0,imported,
165441,Main  Shaft,40-8050 Nissan Atlas Crew Cab,2,0,0,imported,
165440,Rear Sockabshober-48551-OKO50 (Gas Filled),PE-3911,2,0,0,imported,
165439,Belt Adjuster,SL-03,1,0,0,imported,
165439,Drive Belt,SL-03,1,0,0,imported,
165439,Fuel Feed Pump (Hand Primer Pump ),SL-03,1,0,0,imported,
165438,"Concrete Mixer Engine (02 Bags) Type-Yanmar,Model-CY-1115 XM,Cpacity-16.2KW,,RPM-2200P/M",Concrete Mixer,1,0,0,imported,
165437,"02"" Hose Clip",48-8072,6,6,1,imported,
165437,Upper Cooling Water Line,48-8072,1,1,1,imported,
165437,Radiator Bracket Set,48-8072,2,2,1,imported,
165437,Inter Cooler Rubber Mount,48-8072,8,8,1,imported,
165437,Radiator Rubber Mount,48-8072,4,4,1,imported,
165437,45 mm Water Hose,48-8072,3,3,1,imported,
165437,Radiator Fan Hub Bearing,48-8072,1,1,1,imported,
165429,24V Relay,41-7225,2,2,1,imported,
165429,Meter Board Repair,41-7225,1,0,0,imported,
165429,Electrical Repair,41-7225,1,0,0,imported,
165429,Head Light 2pin,41-7225,2,2,1,imported,
165429,Signal Light (R/L),41-7225,2,2,1,imported,
165429,Head Light  3pin,41-7225,2,2,1,imported,
165436,Automatic Transmission Fluid (AT FLUID D-11) 4 Ltr Can,57-3062,2,0,0,imported,
165431,Battery Post Repair,GL-0019,1,1,0,imported,
165431,Starter Relay,GL-0019,1,1,0,imported,
166865,Windscreen,LE-4986,1,1,0,imported,
166865,Wind screen beeding,LE-4986,1,1,0,imported,
166918,Silicon,Work Shop Stores,1,1,0,imported,
166918,5A Mini Fuse,Work Shop Stores,20,0,0,imported,
166918,7.5A Mini Fuse,Work Shop Stores,20,7,0,imported,
166918,15A Mini Fuse,Work Shop Stores,20,20,0,imported,
